fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
0.28387096774193554,0.6309859154929578,0.22702702702702704,0.43636363636363634,0.375,0.1951219512195122,0.14035087719298245,0.3604166666666657,0.5874999999999999,0.4285714285714286,0.37254901960784315
0.8903225806451615,0.2591549295774647,0.5297297297297298,0.8727272727272726,0.375,0.21951219512195122,0.26315789473684215,0.8645833333333428,0.5124999999999997,0.9206349206349209,0.5098039215686274
0.7741935483870969,0.21408450704225346,0.5297297297297298,0.4727272727272727,0.2916666666666665,0.4146341463414634,0.2894736842105263,0.5833333333333428,0.28750000000000053,0.2857142857142858,0.27450980392156854
0.28387096774193554,0.5746478873239436,0.0756756756756757,0.43636363636363634,0.6011904761904762,0.24390243902439027,0.32456140350877194,0.3437499999999858,0.7000000000000006,0.3492063492063493,0.392156862745098
0.9548387096774197,0.37183098591549296,0.5945945945945946,0.39999999999999997,0.4107142857142856,0.5853658536585366,0.368421052631579,0.8020833333333428,0.23750000000000027,0.6825396825396828,0.37254901960784315
0.5548387096774196,0.5295774647887324,0.42162162162162165,0.509090909090909,0.6726190476190478,0.0975609756097561,0.13157894736842105,0.6875000000000142,0.5750000000000006,0.39682539682539686,0.37254901960784315
0.270967741935484,0.7098591549295774,0.010810810810810811,0.5454545454545454,0.47023809523809523,0.3902439024390244,0.21929824561403508,0.3645833333333286,0.7999999999999994,0.44444444444444453,0.8627450980392157
0.503225806451613,0.22535211267605632,0.4540540540540541,0.509090909090909,0.4345238095238094,0.2682926829268293,0.10526315789473684,0.24374999999999147,0.28750000000000053,0.6031746031746033,0.6666666666666665
0.0,0.4507042253521126,0.16216216216216217,0.43636363636363634,0.1845238095238093,0.17073170731707318,0.5087719298245614,0.14583333333331439,1.0000000000000004,0.3650793650793652,0.9215686274509802
0.9999999999999999,0.41690140845070417,0.7243243243243244,0.7636363636363637,0.6488095238095238,0.12195121951219515,0.07017543859649122,0.6875000000000142,0.13750000000000062,0.9523809523809526,0.7058823529411766
